,0,1,2,3,4
100,26.09.2019,"3 159,1700","38,3200","1 968,7400","3 450,4500"
101,25.09.2019,"3 113,7700","38,0100","1 960,1200","3 391,8100"
102,24.09.2019,"3 123,9200","37,7900","1 963,3700","3 408,6600"
103,21.09.2019,"3 087,5900","36,7000","1 939,8800","3 380,9300"
104,20.09.2019,"3 093,7700","36,6600","1 916,0600","3 278,7700"
105,19.09.2019,"3 111,7200","36,9800","1 943,0100","3 308,0900"
106,18.09.2019,"3 090,8800","36,7800","1 921,3600","3 279,9200"
107,17.09.2019,"3 082,3400","36,6000","1 955,6400","3 320,2800"
108,14.09.2019,"3 122,2500","37,6100","1 979,5200","3 333,0500"
109,13.09.2019,"3 150,0800","38,1300","1 999,5200","3 349,3000"
110,12.09.2019,"3 142,1800","38,2100","1 975,3600","3 285,9600"
111,11.09.2019,"3 144,5200","37,8500","1 973,4800","3 248,4500"
112,10.09.2019,"3 183,1500","38,3000","1 996,3900","3 265,4700"
113,07.09.2019,"3 193,3300","38,5000","1 994,5700","3 299,5300"
114,06.09.2019,"3 275,9400","40,8200","2 085,4200","3 312,8900"
115,05.09.2019,"3 290,0000","41,2700","2 069,6100","3 303,2600"
116,04.09.2019,"3 296,4800","39,7400","2 013,4400","3 304,1100"
117,03.09.2019,"3 263,0100","39,3100","2 004,9100","3 287,9600"
118,31.08.2019,"3 263,2900","39,3000","1 998,7400","3 206,5400"
119,30.08.2019,"3 297,6000","39,6600","1 965,7100","3 186,7600"
120,29.08.2019,"3 291,9700","39,2100","1 853,3700","3 155,8500"
121,28.08.2019,"3 263,3500","37,7600","1 823,5600","3 148,6300"
122,27.08.2019,"3 189,7000","36,1600","1 805,0500","3 096,8000"
123,24.08.2019,"3 154,3600","35,9600","1 813,9400","3 125,8900"
124,23.08.2019,"3 161,8300","35,7800","1 793,2600","3 094,9600"
125,22.08.2019,"3 194,8600","36,4500","1 798,0600","3 178,5600"
126,21.08.2019,"3 226,4200","36,5400","1 833,6700","3 186,3800"
127,20.08.2019,"3 210,8600","36,2400","1 807,4300","3 115,8900"
128,17.08.2019,"3 201,9400","36,4100","1 769,6000","3 070,2800"
129,16.08.2019,"3 215,0400","36,6300","1 779,4800","3 031,4800"
130,15.08.2019,"3 145,2300","35,8800","1 779,7800","3 025,0000"
131,14.08.2019,"3 221,0800","36,7900","1 824,4100","3 037,1600"
132,13.08.2019,"3 159,4700","35,6700","1 798,5600","2 995,5000"
133,10.08.2019,"3 154,3000","35,6700","1 810,5500","2 998,0000"
134,09.08.2019,"3 135,5200","35,6400","1 794,5400","2 965,0700"
135,08.08.2019,"3 113,3400","35,2000","1 787,2500","2 990,6000"
136,07.08.2019,"3 064,5100","34,3500","1 792,3600","3 004,0300"
137,06.08.2019,"3 048,3300","34,4800","1 782,0000","2 953,2700"
138,03.08.2019,"2 984,5400","33,6600","1 756,1600","2 953,2600"
139,02.08.2019,"2 886,3700","32,8500","1 748,5700","3 107,2000"
140,01.08.2019,"2 916,7600","33,5900","1 782,0100","3 117,4900"
141,31.07.2019,"2 910,7300","33,5300","1 795,2000","3 152,3000"
142,30.07.2019,"2 897,8500","33,4700","1 770,6300","3 128,7200"
143,27.07.2019,"2 878,4500","33,3700","1 751,5300","3 109,3200"
144,26.07.2019,"2 896,2700","33,5800","1 788,9100","3 125,0200"
145,25.07.2019,"2 892,7700","33,5500","1 749,2000","3 104,7200"
146,24.07.2019,"2 877,1200","33,3500","1 713,0200","3 070,8500"
147,23.07.2019,"2 884,1900","33,1800","1 719,0300","3 037,1600"
148,20.07.2019,"2 904,5700","32,9800","1 732,1700","3 076,2800"
149,19.07.2019,"2 870,2000","32,3800","1 714,9700","3 096,6400"
150,18.07.2019,"2 834,8400","31,5900","1 689,8100","3 076,0700"
151,17.07.2019,"2 859,7900","31,0900","1 702,4200","3 134,2300"
152,16.07.2019,"2 860,7800","30,9500","1 694,7500","3 151,1500"
153,13.07.2019,"2 847,9600","30,6800","1 669,5500","3 154,7200"
154,12.07.2019,"2 882,2300","30,9200","1 681,0100","3 242,5300"
155,11.07.2019,"2 862,3200","30,9600","1 667,6100","3 179,3300"
156,10.07.2019,"2 845,3700","30,8000","1 656,5000","3 185,8900"
157,09.07.2019,"2 884,9100","30,9500","1 669,4700","3 225,9900"
158,06.07.2019,"2 891,4200","31,0900","1 700,8400","3 203,3800"
159,05.07.2019,"2 884,8400","31,1500","1 704,1000","3 186,0200"
160,04.07.2019,"2 909,2200","31,2500","1 696,4100","3 182,5600"
161,03.07.2019,"2 831,8600","30,8400","1 697,3700","3 152,8400"
162,02.07.2019,"2 817,9600","30,9400","1 688,6900","3 144,2400"
163,29.06.2019,"2 865,8700","30,8700","1 654,7900","3 112,8700"
164,28.06.2019,"2 842,2900","30,9100","1 645,8800","3 082,9900"
165,27.06.2019,"2 840,7000","30,8000","1 625,5600","3 085,5400"
166,26.06.2019,"2 873,6200","30,9600","1 632,2500","3 069,5100"
167,25.06.2019,"2 842,6400","31,0900","1 638,2900","3 066,2400"
168,22.06.2019,"2 817,8800","31,0300","1 633,8800","3 028,2500"
169,21.06.2019,"2 815,7500","31,2400","1 660,9400","3 105,8500"
170,20.06.2019,"2 761,3000","30,7400","1 645,5900","3 075,1900"
171,19.06.2019,"2 781,1000","30,8100","1 650,6000","3 067,4700"
172,18.06.2019,"2 756,9100","30,5600","1 652,2500","3 033,6000"
173,15.06.2019,"2 801,6700","31,1300","1 694,5300","3 038,9700"
174,14.06.2019,"2 775,7200","30,7400","1 687,2900","2 954,8400"
175,12.06.2019,"2 743,4800","30,4800","1 665,6100","2 874,8800"
176,11.06.2019,"2 767,6200","30,7200","1 664,4000","2 816,3600"
177,08.06.2019,"2 790,1100","31,1800","1 679,1300","2 816,6700"
178,07.06.2019,"2 803,3800","31,3700","1 692,5400","2 799,9200"
179,06.06.2019,"2 800,9700","31,0700","1 723,1900","2 793,1200"
180,05.06.2019,"2 772,9200","30,8400","1 719,9800","2 780,0500"
181,04.06.2019,"2 769,3200","30,9900","1 679,7800","2 815,7900"
182,01.06.2019,"2 724,3500","30,4400","1 666,9800","2 873,6000"
183,31.05.2019,"2 669,9100","30,1200","1 656,6000","2 800,7500"
184,30.05.2019,"2 678,4700","30,0000","1 661,1300","2 783,8600"
185,29.05.2019,"2 664,0800","30,0500","1 678,6700","2 763,8800"
186,28.05.2019,"2 658,0500","30,1600","1 658,0400","2 754,4200"
187,25.05.2019,"2 662,0300","30,2200","1 674,2900","2 771,0900"
188,24.05.2019,"2 645,6100","30,0200","1 658,7500","2 718,2800"
189,23.05.2019,"2 638,4600","29,9000","1 677,5200","2 723,3800"
190,22.05.2019,"2 647,5900","29,9400","1 684,8300","2 761,7200"
191,21.05.2019,"2 644,0500","29,8900","1 698,0800","2 730,6200"
192,18.05.2019,"2 671,8800","30,0900","1 716,4200","2 749,1800"
193,17.05.2019,"2 689,1000","30,7100","1 760,1500","2 775,1400"
194,16.05.2019,"2 708,1300","30,8900","1 772,2000","2 764,6300"
195,15.05.2019,"2 724,2400","30,9800","1 795,0300","2 792,2600"
196,14.05.2019,"2 700,5000","30,8600","1 795,4900","2 807,9600"
197,09.05.2019,"2 700,6000","31,3100","1 826,6200","2 785,0100"
198,08.05.2019,"2 686,5800","31,0900","1 838,8600","2 809,6600"
199,07.05.2019,"2 685,6800","30,7800","1 795,9900","2 854,6700"
200,01.05.2019,"2 670,4700","31,1400","1 866,0000","2 842,6300"
201,30.04.2019,"2 666,7200","31,1400","1 861,5000","3 032,4700"
202,27.04.2019,"2 665,9300","31,2000","1 849,4100","2 937,4100"
203,26.04.2019,"2 657,2800","30,9100","1 834,1100","2 946,6400"
204,25.04.2019,"2 620,2000","30,4500","1 834,8400","2 873,6200"
205,24.04.2019,"2 611,7400","30,7100","1 833,5200","2 820,0100"
206,23.04.2019,"2 616,1600","30,6700","1 825,1800","2 860,8200"
207,20.04.2019,"2 623,3100","30,7500","1 830,1700","2 868,6300"
208,19.04.2019,"2 629,4100","30,8100","1 820,9100","2 852,9000"
209,18.04.2019,"2 623,5100","30,8400","1 817,4000","2 800,1100"
210,17.04.2019,"2 651,5000","30,8700","1 834,1000","2 829,6400"
211,16.04.2019,"2 657,8900","30,8500","1 836,3000","2 831,9200"
212,13.04.2019,"2 688,5700","31,2500","1 864,7700","2 839,6800"
213,12.04.2019,"2 701,2500","31,3900","1 871,7100","2 836,5500"
214,11.04.2019,"2 715,7500","31,7300","1 854,4800","2 884,7500"
215,10.04.2019,"2 711,2500","31,7700","1 882,6800","2 901,0800"
216,09.04.2019,"2 725,2600","31,8100","1 914,0500","2 907,8400"
217,06.04.2019,"2 710,4100","31,9500","1 909,4200","2 815,7700"
218,05.04.2019,"2 712,8100","31,6800","1 852,5000","2 953,0900"
219,04.04.2019,"2 706,5100","31,7700","1 801,7600","2 998,0400"
220,03.04.2019,"2 709,5400","31,6300","1 780,8200","2 951,2000"
221,02.04.2019,"2 717,1500","31,7000","1 783,5300","2 900,3400"
222,30.03.2019,"2 687,2300","31,6200","1 762,8300","2 886,7200"
223,29.03.2019,"2 722,8000","32,0800","1 787,5600","2 979,2700"
224,28.03.2019,"2 737,6000","32,0600","1 790,1100","3 142,0400"
225,27.03.2019,"2 713,4400","32,0300","1 757,7200","3 224,5600"
226,26.03.2019,"2 735,9300","32,0600","1 762,6400","3 185,2000"
227,23.03.2019,"2 688,1100","31,8600","1 759,1300","3 247,6200"
228,22.03.2019,"2 699,6100","31,4000","1 780,8900","3 287,1600"
229,21.03.2019,"2 692,8600","31,8500","1 775,2600","3 304,5900"
230,20.03.2019,"2 705,4400","31,8000","1 736,9800","3 300,2500"
231,19.03.2019,"2 714,0400","31,9300","1 729,8700","3 241,4200"
232,16.03.2019,"2 739,8700","32,0400","1 752,0500","3 276,9500"
233,15.03.2019,"2 731,8600","32,6300","1 751,5700","3 265,5300"
234,14.03.2019,"2 759,0700","32,5700","1 767,1200","3 251,6700"
235,13.03.2019,"2 742,3600","32,3400","1 761,3500","3 275,3100"
236,12.03.2019,"2 753,9700","32,1100","1 727,1400","3 214,2200"
237,08.03.2019,"2 728,2100","32,0100","1 751,7900","3 272,4100"
238,07.03.2019,"2 721,3800","31,9900","1 759,1400","3 196,5200"
239,06.03.2019,"2 718,4600","32,0700","1 770,7000","3 219,8400"
240,05.03.2019,"2 723,4400","32,9200","1 787,4900","3 259,7900"
241,02.03.2019,"2 771,8300","33,4600","1 823,9800","3 243,8000"
242,01.03.2019,"2 807,8300","33,6000","1 851,4800","3 272,9200"
243,28.02.2019,"2 804,2900","33,4700","1 826,6100","3 287,4800"
244,27.02.2019,"2 800,7000","33,6600","1 789,0000","3 251,0100"
245,26.02.2019,"2 788,6900","33,3000","1 783,3800","3 197,5000"
246,23.02.2019,"2 785,1200","33,5100","1 748,2700","3 123,7200"
247,22.02.2019,"2 813,1700","33,7900","1 727,8700","3 082,7800"
248,21.02.2019,"2 849,4200","33,4100","1 744,6900","3 171,7800"
249,20.02.2019,"2 829,8800","33,5500","1 730,4300","3 154,3600"
250,19.02.2019,"2 819,8700","33,3900","1 716,6900","3 105,3800"
251,16.02.2019,"2 826,5800","33,4100","1 689,9400","3 036,7500"
252,15.02.2019,"2 793,3100","33,5800","1 677,2900","3 014,4200"
253,14.02.2019,"2 768,6300","33,3800","1 670,2800","2 975,2500"
254,13.02.2019,"2 771,1200","33,1800","1 666,9800","2 943,1000"
255,12.02.2019,"2 758,2200","33,3100","1 669,6000","2 929,7200"
256,09.02.2019,"2 784,7300","33,3700","1 688,5500","2 967,1800"
257,08.02.2019,"2 773,3700","33,3900","1 708,6800","2 916,4400"
258,07.02.2019,"2 772,8700","33,5000","1 720,7000","2 905,1400"
259,06.02.2019,"2 770,0400","33,1900","1 728,6400","2 890,2000"
260,05.02.2019,"2 764,4200","33,7600","1 726,9700","2 857,2000"
261,02.02.2019,"2 788,1300","33,9300","1 735,2600","2 866,7600"
262,01.02.2019,"2 778,9700","33,4400","1 718,8600","2 874,5700"
263,31.01.2019,"2 790,1800","33,6900","1 734,1000","2 856,1600"
264,30.01.2019,"2 790,6000","33,4500","1 744,7300","2 855,9800"
265,29.01.2019,"2 757,7300","32,5900","1 719,0700","2 859,4700"
266,26.01.2019,"2 718,9300","32,4200","1 701,7800","2 784,7300"
267,25.01.2019,"2 715,6300","32,6500","1 680,6200","2 858,3300"
268,24.01.2019,"2 740,2000","32,5400","1 686,9000","2 872,6300"
269,23.01.2019,"2 748,8900","32,6500","1 696,7200","2 849,9800"
270,22.01.2019,"2 728,2700","33,0100","1 702,6400","2 955,0800"
271,19.01.2019,"2 740,4800","33,2200","1 727,3900","3 021,8700"
272,18.01.2019,"2 764,2600","33,2000","1 719,6500","2 967,2000"
273,17.01.2019,"2 769,9800","33,4800","1 717,1500","2 859,0500"
274,16.01.2019,"2 780,7900","33,6800","1 727,5400","2 855,5200"
275,15.01.2019,"2 794,7400","33,8700","1 730,3800","2 836,4400"
276,12.01.2019,"2 781,3600","33,7900","1 770,6200","2 852,7800"
277,11.01.2019,"2 778,1600","33,5800","1 771,2800","2 835,3400"
278,10.01.2019,"2 763,3200","33,7300","1 774,9300","2 887,7600"
279,30.12.2018,"2 856,6800","34,1600","1 760,0200","2 836,5800"
280,29.12.2018,"2 854,8800","33,6500","1 776,9700","2 834,2000"
281,28.12.2018,"2 814,7500","32,5000","1 762,6800","2 790,1700"
282,27.12.2018,"2 793,3500","32,5000","1 754,0800","2 746,2900"
283,26.12.2018,"2 787,6100","32,4300","1 750,4700","2 740,6400"
284,25.12.2018,"2 773,9200","32,3100","1 741,8800","2 727,1900"
285,22.12.2018,"2 749,7700","32,2900","1 733,9100","2 752,8300"
286,21.12.2018,"2 718,3600","31,7200","1 713,3300","2 759,5200"
287,20.12.2018,"2 694,1100","31,6200","1 706,7400","2 725,1800"
288,19.12.2018,"2 679,8200","31,3300","1 699,5600","2 708,1400"
289,18.12.2018,"2 654,0400","31,2300","1 679,2500","2 675,2400"
290,15.12.2018,"2 646,6900","31,3500","1 691,6300","2 663,4600"
291,14.12.2018,"2 650,8600","31,2200","1 704,1200","2 692,5000"
292,13.12.2018,"2 658,2000","31,2600","1 680,6600","2 680,0900"
293,12.12.2018,"2 668,8800","31,0700","1 667,7100","2 651,2400"
294,11.12.2018,"2 655,3300","30,8500","1 676,0900","2 598,2500"
295,08.12.2018,"2 670,5800","30,9400","1 697,6200","2 605,6000"
296,07.12.2018,"2 653,0100","31,0700","1 697,2200","2 619,8600"
297,06.12.2018,"2 655,8000","31,2500","1 712,3100","2 683,4100"
298,05.12.2018,"2 647,4200","30,7300","1 721,8700","2 638,3400"
299,04.12.2018,"2 623,7800","30,3400","1 728,5200","2 544,8200"
300,01.12.2018,"2 610,6600","30,5100","1 732,6700","2 549,8100"
301,30.11.2018,"2 627,4700","30,3100","1 763,1400","2 534,3900"
302,29.11.2018,"2 611,1500","30,7200","1 788,5500","2 500,9600"
303,28.11.2018,"2 630,2100","30,8700","1 805,6500","2 451,9000"
304,27.11.2018,"2 622,8900","30,4800","1 808,9600","2 433,3300"
305,24.11.2018,"2 580,2300","30,6500","1 777,6500","2 419,4600"
306,23.11.2018,"2 590,7500","30,4200","1 784,4700","2 423,5900"
307,22.11.2018,"2 595,2400","30,6200","1 791,6500","2 446,8200"
308,21.11.2018,"2 579,1200","30,2800","1 790,2600","2 429,1900"
309,20.11.2018,"2 596,6300","30,3200","1 791,1400","2 508,4500"
310,17.11.2018,"2 579,5900","29,9800","1 784,3700","2 467,5700"
311,16.11.2018,"2 592,8000","29,9200","1 784,0800","2 422,3200"
312,15.11.2018,"2 626,5700","30,6500","1 821,0800","2 415,7200"
313,14.11.2018,"2 605,8700","30,8100","1 836,5400","2 404,4800"
314,13.11.2018,"2 620,4300","31,1300","1 847,4700","2 409,7400"
315,10.11.2018,"2 620,0600","31,1400","1 850,5200","2 407,1800"
316,09.11.2018,"2 604,5700","31,2300","1 854,2500","2 390,7300"
317,08.11.2018,"2 624,3600","31,2400","1 861,4100","2 384,1400"
318,07.11.2018,"2 619,9400","31,2600","1 843,7300","2 405,9700"
319,03.11.2018,"2 604,9800","30,4700","1 823,8000","2 327,7200"
320,02.11.2018,"2 581,9700","30,2700","1 789,9200","2 288,0500"
321,01.11.2018,"2 568,0900","30,4200","1 752,5500","2 260,8100"
322,31.10.2018,"2 579,9200","30,9800","1 761,5400","2 296,5500"
323,30.10.2018,"2 604,1800","31,0800","1 760,4600","2 333,8700"
324,27.10.2018,"2 608,3100","31,0000","1 743,0200","2 287,4500"
325,26.10.2018,"2 604,5600","31,1600","1 750,2500","2 352,7000"
326,25.10.2018,"2 598,8400","31,1100","1 745,0100","2 407,5700"
327,24.10.2018,"2 594,4700","30,9000","1 738,6100","2 385,3400"
328,23.10.2018,"2 567,6600","30,7200","1 749,0100","2 288,6200"
329,20.10.2018,"2 598,9400","30,9100","1 753,0800","2 289,4800"
330,19.10.2018,"2 587,6600","30,6700","1 758,0700","2 273,6600"
331,18.10.2018,"2 579,5400","30,8100","1 766,3000","2 277,2700"
332,17.10.2018,"2 589,0100","31,0900","1 776,0800","2 285,9400"
333,16.10.2018,"2 606,4800","31,1600","1 784,1600","2 283,0500"
334,13.10.2018,"2 585,1500","30,9700","1 779,6400","2 305,6900"
335,12.10.2018,"2 578,5100","30,9100","1 766,8100","2 305,6500"
336,11.10.2018,"2 524,4700","30,5900","1 744,8300","2 283,1700"
337,10.10.2018,"2 534,9900","30,5800","1 750,6300","2 312,1100"
338,09.10.2018,"2 572,5100","31,1400","1 754,7600","2 284,4200"
339,06.10.2018,"2 572,8800","31,3500","1 758,6700","2 259,9200"
340,05.10.2018,"2 553,3300","31,1400","1 747,7000","2 243,7000"
341,04.10.2018,"2 531,4900","30,9900","1 743,7500","2 208,6100"
342,03.10.2018,"2 500,9100","30,4200","1 727,8800","2 210,1700"
343,02.10.2018,"2 498,9300","30,6800","1 714,0200","2 245,3000"
344,29.09.2018,"2 495,7500","30,1700","1 710,2200","2 290,1400"
345,28.09.2018,"2 531,5200","30,5200","1 754,7100","2 275,4100"
346,27.09.2018,"2 534,4800","30,6000","1 746,3200","2 238,9200"
347,26.09.2018,"2 538,4000","30,2400","1 756,5300","2 236,9300"
348,25.09.2018,"2 549,8300","30,4500","1 756,9600","2 239,8100"
349,22.09.2018,"2 572,1600","30,5200","1 784,9200","2 249,2500"
350,21.09.2018,"2 570,9800","30,4100","1 756,7300","2 220,4900"
351,20.09.2018,"2 591,7600","30,5600","1 766,6200","2 184,5800"
352,19.09.2018,"2 612,6200","30,9500","1 744,8000","2 158,6700"
353,18.09.2018,"2 624,0400","31,0700","1 743,0700","2 148,6900"
354,15.09.2018,"2 648,0100","31,2100","1 771,6400","2 149,2300"
355,14.09.2018,"2 662,7500","31,3900","1 774,2100","2 155,9700"
356,13.09.2018,"2 679,2600","31,6600","1 764,8500","2 176,4200"
357,12.09.2018,"2 686,1700","31,7800","1 775,0400","2 179,9900"
358,11.09.2018,"2 686,1500","31,9300","1 756,6200","2 199,1500"
359,08.09.2018,"2 664,8500","31,4800","1 759,9200","2 172,7100"
360,07.09.2018,"2 642,6000","31,3000","1 733,5000","2 157,0000"
361,06.09.2018,"2 629,6900","31,1900","1 703,6700","2 161,5100"
362,05.09.2018,"2 624,7300","31,2800","1 707,7500","2 120,4200"
363,04.09.2018,"2 617,3400","31,6400","1 714,1100","2 145,3600"
364,01.09.2018,"2 640,2100","32,0600","1 745,7700","2 137,3700"
365,31.08.2018,"2 631,8100","32,1000","1 731,4100","2 145,1100"
366,30.08.2018,"2 638,5200","32,1800","1 735,2000","2 061,6500"
367,29.08.2018,"2 627,6300","32,2800","1 748,5000","2 058,3400"
368,28.08.2018,"2 595,2200","31,6800","1 703,1400","2 019,4900"
369,25.08.2018,"2 593,5400","31,8600","1 708,7500","2 011,7100"
370,24.08.2018,"2 615,8100","32,2200","1 718,4600","2 018,0900"
371,23.08.2018,"2 601,8500","32,2000","1 717,3900","1 986,9600"
372,22.08.2018,"2 579,0500","31,9300","1 727,8600","1 980,5600"
373,21.08.2018,"2 567,5900","31,8700","1 717,1300","1 982,8000"
374,18.08.2018,"2 530,0300","31,5200","1 681,3800","1 939,3900"
375,17.08.2018,"2 537,0300","31,4100","1 679,6700","1 858,1700"
376,16.08.2018,"2 532,5100","31,6400","1 681,6500","1 899,3300"
377,15.08.2018,"2 565,3200","32,2700","1 725,5200","1 916,5300"
